type;n;algo;threshold;time_ms
random;500;merge;0;0
random;600;merge;0;0
random;700;merge;0;0
random;800;merge;0;0
random;900;merge;0;0
random;1000;merge;0;0
random;1100;merge;0;0
random;1200;merge;0;0
random;1300;merge;0;0
random;1400;merge;0;0
random;1500;merge;0;0
random;1600;merge;0;0
random;1700;merge;0;0
random;1800;merge;0;0
random;1900;merge;0;0
random;2000;merge;0;0
random;2100;merge;0;0
random;2200;merge;0;0
random;2300;merge;0;0
random;2400;merge;0;0
random;2500;merge;0;0
random;2600;merge;0;0
random;2700;merge;0;0
random;2800;merge;0;0
random;2900;merge;0;0
random;3000;merge;0;0
random;3100;merge;0;0
random;3200;merge;0;0
random;3300;merge;0;0
random;3400;merge;0;0
random;3500;merge;0;0
random;3600;merge;0;0
random;3700;merge;0;0
random;3800;merge;0;0
random;3900;merge;0;0
random;4000;merge;0;0
random;4100;merge;0;0
random;4200;merge;0;0
random;4300;merge;0;0
random;4400;merge;0;0
random;4500;merge;0;0
random;4600;merge;0;0
random;4700;merge;0;0
random;4800;merge;0;0
random;4900;merge;0;0
random;5000;merge;0;0
random;5100;merge;0;0
random;5200;merge;0;0
random;5300;merge;0;0
random;5400;merge;0;0
random;5500;merge;0;0
random;5600;merge;0;0
random;5700;merge;0;0
random;5800;merge;0;0
random;5900;merge;0;0
random;6000;merge;0;0
random;6100;merge;0;0
random;6200;merge;0;0
random;6300;merge;0;0
random;6400;merge;0;0
random;6500;merge;0;0
random;6600;merge;0;0
random;6700;merge;0;0
random;6800;merge;0;0
random;6900;merge;0;0
random;7000;merge;0;0
random;7100;merge;0;0
random;7200;merge;0;0
random;7300;merge;0;0
random;7400;merge;0;0
random;7500;merge;0;0
random;7600;merge;0;0
random;7700;merge;0;0
random;7800;merge;0;0
random;7900;merge;0;0
random;8000;merge;0;0
random;8100;merge;0;0
random;8200;merge;0;0
random;8300;merge;0;0
random;8400;merge;0;0
random;8500;merge;0;0
random;8600;merge;0;0
random;8700;merge;0;0
random;8800;merge;0;0
random;8900;merge;0;0
random;9000;merge;0;0
random;9100;merge;0;0
random;9200;merge;0;0
random;9300;merge;0;0
random;9400;merge;0;0
random;9500;merge;0;0
random;9600;merge;0;0
random;9700;merge;0;0
random;9800;merge;0;0
random;9900;merge;0;0
random;10000;merge;0;0
random;10100;merge;0;0
random;10200;merge;0;0
random;10300;merge;0;0
random;10400;merge;0;0
random;10500;merge;0;0
random;10600;merge;0;0
random;10700;merge;0;0
random;10800;merge;0;0
random;10900;merge;0;0
random;11000;merge;0;0
random;11100;merge;0;0
random;11200;merge;0;0
random;11300;merge;0;0
random;11400;merge;0;0
random;11500;merge;0;0
random;11600;merge;0;0
random;11700;merge;0;0
random;11800;merge;0;0
random;11900;merge;0;0
random;12000;merge;0;0
random;12100;merge;0;0
random;12200;merge;0;0
random;12300;merge;0;0
random;12400;merge;0;0
random;12500;merge;0;0
random;12600;merge;0;0
random;12700;merge;0;0
random;12800;merge;0;0
random;12900;merge;0;0
random;13000;merge;0;0
random;13100;merge;0;0
random;13200;merge;0;0
random;13300;merge;0;0
random;13400;merge;0;0
random;13500;merge;0;0
random;13600;merge;0;0
random;13700;merge;0;0
random;13800;merge;0;0
random;13900;merge;0;0
random;14000;merge;0;0
random;14100;merge;0;0
random;14200;merge;0;0
random;14300;merge;0;0
random;14400;merge;0;0
random;14500;merge;0;0
random;14600;merge;0;0
random;14700;merge;0;0
random;14800;merge;0;0
random;14900;merge;0;0
random;15000;merge;0;0
random;15100;merge;0;0
random;15200;merge;0;0
random;15300;merge;0;0
random;15400;merge;0;0
random;15500;merge;0;0
random;15600;merge;0;0
random;15700;merge;0;0
random;15800;merge;0;0
random;15900;merge;0;0
random;16000;merge;0;0
random;16100;merge;0;0
random;16200;merge;0;0
random;16300;merge;0;0
random;16400;merge;0;0
random;16500;merge;0;0
random;16600;merge;0;0
random;16700;merge;0;0
random;16800;merge;0;0
random;16900;merge;0;0
random;17000;merge;0;0
random;17100;merge;0;0
random;17200;merge;0;0
random;17300;merge;0;0
random;17400;merge;0;0
random;17500;merge;0;0
random;17600;merge;0;0
random;17700;merge;0;0
random;17800;merge;0;0
random;17900;merge;0;0
